Finny_GLCode;Finny_GLDescription;BalanceTypeCode;BalanceTypeDescription;GLClassificationCode_RGS versie 3.5;GLClassificationDescr_RGS versie 3.5Description;GLAccountClass_01;GLAccClassDesc_01Description
1461;Rekening-courant directie 2;B;Balans;;;BVor;Vorderingen
1490;Vraagposten;B;Balans;;;BSch;Kortlopende schulden
1500;Af te dragen BTW hoog;B;Balans;;;BSch;Kortlopende schulden
1510;Af te dragen BTW laag;B;Balans;;;BSch;Kortlopende schulden
1520;Af te dragen BTW verwerving goederen buiten EU;B;Balans;;;BSch;Kortlopende schulden
1530;Af te dragen BTW verwerving goederen binnen EU;B;Balans;;;BSch;Kortlopende schulden
1540;BTW prive-gebruik;B;Balans;;;BSch;Kortlopende schulden
1550;Te vorderen BTW;B;Balans;;;BVor;Vorderingen
1560;BTW verlegd;B;Balans;;;BVor;Vorderingen
1570;BTW overige tarieven;B;Balans;;;BVor;Vorderingen
1590;BTW balanspost;B;Balans;;;BSch;Kortlopende schulden
1700;Loonheffingen;B;Balans;;;BSch;Kortlopende schulden
1710;Sociale lasten;B;Balans;;;BSch;Kortlopende schulden
1720;Pensioenpremies;B;Balans;;;BSch;Kortlopende schulden
1725;Vakantiefondsafdracht;B;Balans;;;BSch;Kortlopende schulden
1730;Reservering vakantiegeld;B;Balans;;;BSch;Kortlopende schulden
1731;Reservering 2;B;Balans;;;BSch;Kortlopende schulden
1732;Reservering 3;B;Balans;;;BSch;Kortlopende schulden
1733;Reservering 4;B;Balans;;;BSch;Kortlopende schulden
1740;Reservering vakantiedagen;B;Balans;;;BSch;Kortlopende schulden
1800;Vennootschapsbelasting;B;Balans;;;BSch;Kortlopende schulden
1810;Dividendbelasting;B;Balans;;;BSch;Kortlopende schulden
1900;Nog te ontvangen bedragen;B;Balans;;;BVor;Vorderingen
1910;Vooruitbetaalde bedragen;B;Balans;;;BVor;Vorderingen
1920;Nog te betalen bedragen;B;Balans;;;BSch;Kortlopende schulden
1930;Vooruitontvangen bedragen;B;Balans;;;BSch;Kortlopende schulden
1940;Nog te facturen omzet;B;Balans;;;BVor;Vorderingen
1950;Vooruitgefactureerde omzet;B;Balans;;;BSch;Kortlopende schulden
2000;Nettolonen;B;Balans;;;BSch;Kortlopende schulden
2010;Inhouding Hiaat verzekeringen;B;Balans;;;BSch;Kortlopende schulden
2200;Kruisposten;B;Balans;;;BLim;Liquide middelen
2210;Kruisposten pin;B;Balans;;;BLim;Liquide middelen
2220;Kruisposten creditcard;B;Balans;;;BLim;Liquide middelen
2230;Kruisposten 1;B;Balans;;;BLim;Liquide middelen
2240;Kruisposten 2;B;Balans;;;BLim;Liquide middelen
2250;Kruisposten 3;B;Balans;;;BLim;Liquide middelen
2260;Kruisposten 4;B;Balans;;;BLim;Liquide middelen
2270;Kruisposten 5;B;Balans;;;BLim;Liquide middelen
2290;Tussenrekening bank;B;Balans;;;BLim;Liquide middelen
2300;Personeelskosten;B;Balans;;;BSch;Kortlopende schulden
2400;Huisvestingskosten;B;Balans;;;BSch;Kortlopende schulden
2500;Exploitatiekosten;B;Balans;;;BSch;Kortlopende schulden
2600;Autokosten;B;Balans;;;BSch;Kortlopende schulden
2700;Verkoopkosten;B;Balans;;;BSch;Kortlopende schulden
2800;Kantoorkosten;B;Balans;;;BSch;Kortlopende schulden
2900;Algemene kosten;B;Balans;;;BSch;Kortlopende schulden
2990;Financiële baten en lasten;B;Balans;;;BSch;Kortlopende schulden
3000;Voorraad gereed product 1;B;Balans;;;BVrd;Voorraden
3010;Voorraad gereed product 2;B;Balans;;;BVrd;Voorraden
3020;Voorraad gereed product 3;B;Balans;;;BVrd;Voorraden
3030;Voorraad gereed product 4;B;Balans;;;BVrd;Voorraden
3040;Voorraad gereed product 5;B;Balans;;;BVrd;Voorraden
3100;Voorraad handelsgoederen 1;B;Balans;;;BVrd;Voorraden
3110;Voorraad handelsgoederen 2;B;Balans;;;BVrd;Voorraden
3120;Voorraad handelsgoederen 3;B;Balans;;;BVrd;Voorraden
3130;Voorraad handelsgoederen 4;B;Balans;;;BVrd;Voorraden
3140;Voorraad handelsgoederen 5;B;Balans;;;BVrd;Voorraden
3150;Voorraad handelsgoederen 6;B;Balans;;;BVrd;Voorraden
3160;Voorraad handelsgoederen 7;B;Balans;;;BVrd;Voorraden
3170;Voorraad handelsgoederen 8;B;Balans;;;BVrd;Voorraden
3180;Voorraad handelsgoederen 9;B;Balans;;;BVrd;Voorraden
3190;Voorraad handelsgoederen 10;B;Balans;;;BVrd;Voorraden
3200;Incourante voorraad gereed product;B;Balans;;;BVrd;Voorraden
3210;Incourante voorraad handelsgoederen;B;Balans;;;BVrd;Voorraden
3300;Onderhanden werk;B;Balans;;;BVrd;Voorraden
3400;Emballage;B;Balans;;;BVrd;Voorraden
4000;Bruto loon;W;Winst & Verlies;;;WPer;Lasten uit hoofde van personeelsbeloningen
4001;Overwerktoeslag;W;Winst & Verlies;;;WPer;Lasten uit hoofde van personeelsbeloningen
4002;Feestdagentoeslag;W;Winst & Verlies;;;WPer;Lasten uit hoofde van personeelsbeloningen
4003;Mutatie vakantiegeldreservering;W;Winst & Verlies;;;WPer;Lasten uit hoofde van personeelsbeloningen
4004;Mutatie vakantiedagenreservering;W;Winst & Verlies;;;WPer;Lasten uit hoofde van personeelsbeloningen
4005;Bijzondere beloningen;W;Winst & Verlies;;;WPer;Lasten uit hoofde van personeelsbeloningen
4006;Bijdrage ziektekosten;W;Winst & Verlies;;;WPer;Lasten uit hoofde van personeelsbeloningen
4007;Ziekengeld;W;Winst & Verlies;;;WBed;Overige bedrijfskosten
4008;Sociale lasten werkgever;W;Winst & Verlies;;;WPer;Lasten uit hoofde van personeelsbeloningen
4009;Pensioenpremies;W;Winst & Verlies;;;WPer;Lasten uit hoofde van personeelsbeloningen
4010;Opbrengsten afdrachtverminderingen;W;Winst & Verlies;;;WPer;Lasten uit hoofde van personeelsbeloningen
